2021-08-17 18:18:45,981 DEBUG  ROS Time: 364 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:47,986 DEBUG  ROS Time: 366 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:49,995 DEBUG  ROS Time: 368 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:52,006 DEBUG  ROS Time: 370 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:54,012 DEBUG  ROS Time: 372 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:56,019 DEBUG  ROS Time: 374 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:18:58,030 DEBUG  ROS Time: 376 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:00,037 DEBUG  ROS Time: 378 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:02,046 DEBUG  ROS Time: 380 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:04,053 DEBUG  ROS Time: 382 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:06,061 DEBUG  ROS Time: 384 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:08,072 DEBUG  ROS Time: 386 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:10,081 DEBUG  ROS Time: 388 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:12,085 DEBUG  ROS Time: 390 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:14,096 DEBUG  ROS Time: 392 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:16,106 DEBUG  ROS Time: 394 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:18,114 DEBUG  ROS Time: 396 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:19:20,120 DEBUG  ROS Time: 398 | active tasks: 0 | terminated tasks: 0 | active robots: 2
